id,year,issue_d,final_d,emp_length_int,home_ownership,home_ownership_cat,income_category,annual_inc,income_cat,loan_amount,term,term_cat,application_type,application_type_cat,purpose,purpose_cat,interest_payments,interest_payment_cat,loan_condition,loan_condition_cat,interest_rate,grade,grade_cat,dti,total_pymnt,total_rec_prncp,recoveries,installment,region
1039468,2011,01/12/2011,1122014,10.0,MORTGAGE,3,Low,60000,1,21000, 36 months,1,INDIVIDUAL,1,home_improvement,7,Low,1,Good Loan,0,11.71,B,2,3.0,25001.254240000002,21000.0,0.0,694.6,leinster
1046905,2011,01/12/2011,1012013,7.0,RENT,1,Medium,180000,2,25000, 60 months,2,INDIVIDUAL,1,small_business,3,High,2,Bad Loan,1,22.06,F,6,7.04,10228.09,3367.5,1243.4,691.33,ulster
1047031,2011,01/12/2011,1102012,10.0,MORTGAGE,3,Low,68000,1,12000, 60 months,2,INDIVIDUAL,1,debt_consolidation,6,High,2,Bad Loan,1,14.27,C,3,9.35,4214.09,2439.93,557.77,280.91,Northern-Irl
1047020,2011,01/12/2011,1122012,6.0,MORTGAGE,3,Low,92604,1,25000, 60 months,2,INDIVIDUAL,1,debt_consolidation,6,High,2,Good Loan,0,18.25,D,4,18.84,29285.69,25000.0,0.0,638.25,Northern-Irl
1046890,2011,01/12/2011,1082014,8.0,MORTGAGE,3,Low,79200,1,6075, 36 months,1,INDIVIDUAL,1,debt_consolidation,6,Low,1,Good Loan,0,6.03,A,1,10.17,6646.926703,6075.0,0.0,184.9,Northern-Irl
1047018,2011,01/12/2011,1122014,10.0,RENT,1,Low,43000,1,5000, 36 months,1,INDIVIDUAL,1,other,4,Low,1,Good Loan,0,11.71,B,2,13.48,5950.733572,5000.0,0.0,165.38,munster
1040467,2011,01/12/2011,1042014,10.0,RENT,1,Low,38004,1,10400, 36 months,1,INDIVIDUAL,1,debt_consolidation,6,High,2,Bad Loan,1,15.27,C,3,19.58,9771.3,7313.37,0.0,361.9,Northern-Irl
1046549,2011,01/12/2011,1022014,4.0,OWN,2,Low,42000,1,8000, 36 months,1,INDIVIDUAL,1,debt_consolidation,6,High,2,Good Loan,0,15.96,C,3,12.34,9918.366348,8000.0,0.0,281.1,leinster
1047002,2011,01/12/2011,1072013,1.0,RENT,1,Low,85000,1,11000, 36 months,1,INDIVIDUAL,1,credit_card,1,Low,1,Good Loan,0,12.42,B,2,18.17,12558.38,11000.0,0.0,367.57,leinster
1046117,2011,01/12/2011,1012016,10.0,RENT,1,Low,86000,1,33600, 60 months,2,INDIVIDUAL,1,debt_consolidation,6,High,2,Good Loan,0,14.27,C,3,20.57,38527.75,25528.37,0.0,786.53,cannught
1046854,2011,01/12/2011,1032013,3.0,RENT,1,Low,75000,1,12000, 36 months,1,INDIVIDUAL,1,credit_card,1,High,2,Good Loan,0,14.27,C,3,24.56,13783.67,12000.0,0.0,411.71,ulster
1045047,2011,01/12/2011,1122014,10.0,MORTGAGE,3,Low,90000,1,12000, 36 months,1,INDIVIDUAL,1,debt_consolidation,6,Low,1,Good Loan,0,6.62,A,1,12.09,13261.071670000001,12000.0,0.0,368.45,leinster
1036307,2011,01/12/2011,1072014,10.0,MORTGAGE,3,Low,50000,1,11100, 60 months,2,INDIVIDUAL,1,debt_consolidation,6,High,2,Good Loan,0,15.96,C,3,24.12,14747.102530000002,11100.0,0.0,269.7,leinster
1046840,2011,01/12/2011,1012015,2.0,RENT,1,Low,61000,1,20000, 36 months,1,INDIVIDUAL,1,debt_consolidation,6,High,2,Good Loan,0,18.64,E,5,12.28,26267.68789,20000.0,0.0,729.49,ulster
1046255,2011,01/12/2011,1032014,4.0,RENT,1,Low,40000,1,3000, 36 months,1,INDIVIDUAL,1,debt_consolidation,6,Low,1,Bad Loan,1,10.65,B,2,8.58,2635.84,2156.21,0.0,97.72,munster
1046826,2011,01/12/2011,1032014,6.0,RENT,1,Low,37000,1,15075, 36 months,1,INDIVIDUAL,1,debt_consolidation,6,High,2,Bad Loan,1,15.27,C,3,20.5,14333.42,10146.62,694.34,524.58,Northern-Irl
1046749,2011,01/12/2011,1122014,6.0,RENT,1,Low,90000,1,15000, 36 months,1,INDIVIDUAL,1,credit_card,1,High,2,Good Loan,0,17.27,D,4,5.84,19320.202419999998,15000.0,0.0,536.81,Northern-Irl
1046822,2011,01/12/2011,1052014,3.0,MORTGAGE,3,Low,80500,1,24000, 36 months,1,INDIVIDUAL,1,credit_card,1,High,2,Good Loan,0,17.58,D,4,14.33,30695.830830000003,24000.0,0.0,862.61,Northern-Irl
1046809,2011,01/12/2011,1122014,10.0,RENT,1,Low,50000,1,8500, 36 months,1,INDIVIDUAL,1,debt_consolidation,6,Low,1,Good Loan,0,10.65,B,2,16.32,9963.881151000001,8500.0,0.0,276.88,Northern-Irl
1046792,2011,01/12/2011,1082014,2.0,MORTGAGE,3,Medium,120000,2,28000, 60 months,2,INDIVIDUAL,1,debt_consolidation,6,High,2,Bad Loan,1,18.64,E,5,10.18,25106.38,11384.31,2376.13,720.81,Northern-Irl
1039392,2011,01/12/2011,1042014,6.0,RENT,1,Low,62000,1,23000, 60 months,2,INDIVIDUAL,1,debt_consolidation,6,High,2,Good Loan,0,18.64,E,5,21.17,31409.28948,23000.0,0.0,592.09,leinster
1046712,2011,01/12/2011,1022014,6.0,MORTGAGE,3,Low,59000,1,5500, 36 months,1,INDIVIDUAL,1,debt_consolidation,6,Low,1,Good Loan,0,9.91,B,2,8.75,6283.23,5500.0,0.0,177.24,munster
1046552,2011,01/12/2011,1022014,10.0,RENT,1,Low,67000,1,15000, 36 months,1,INDIVIDUAL,1,debt_consolidation,6,High,2,Bad Loan,1,22.35,F,6,17.57,15214.98,9299.72,825.77,575.58,Northern-Irl
623231,2011,01/12/2011,1052014,3.0,MORTGAGE,3,Medium,142000,2,5000, 36 months,1,INDIVIDUAL,1,debt_consolidation,6,Low,1,Bad Loan,1,12.69,B,2,13.28,5025.25,3858.78,180.84,167.73,cannught
1040347,2011,01/12/2011,1082013,0.5,RENT,1,Low,33000,1,8875, 36 months,1,INDIVIDUAL,1,wedding,5,High,2,Good Loan,0,14.65,C,3,21.16,9998.44,8875.0,0.0,306.14,leinster
1046653,2011,01/12/2011,1042014,0.5,RENT,1,Low,30000,1,8000, 36 months,1,INDIVIDUAL,1,moving,10,Low,1,Bad Loan,1,9.91,B,2,3.88,7495.28,5998.88,293.0,257.8,Northern-Irl
1046531,2011,01/11/2011,1022014,10.0,RENT,1,Low,55000,1,4500, 36 months,1,INDIVIDUAL,1,debt_consolidation,6,High,2,Bad Loan,1,14.27,C,3,18.92,4211.99,3045.41,205.17,154.4,leinster
1046646,2011,01/12/2011,1022012,10.0,MORTGAGE,3,Medium,135000,2,35000, 60 months,2,INDIVIDUAL,1,other,4,High,2,Good Loan,0,13.49,C,3,7.72,35782.71,35000.0,0.0,805.17,Northern-Irl
1043550,2011,01/12/2011,1122014,5.0,OWN,2,Low,25000,1,10000, 36 months,1,INDIVIDUAL,1,credit_card,1,High,2,Good Loan,0,13.49,C,3,10.32,12209.10033,10000.0,0.0,339.31,Northern-Irl
1043410,2011,01/12/2011,1122014,10.0,MORTGAGE,3,Low,50000,1,18650, 36 months,1,INDIVIDUAL,1,credit_card,1,Low,1,Good Loan,0,7.9,A,1,21.62,21007.21353,18650.0,0.0,583.57,cannught
1046530,2011,01/12/2011,1012016,5.0,RENT,1,Low,99000,1,16000, 60 months,2,INDIVIDUAL,1,debt_consolidation,6,High,2,Good Loan,0,15.27,C,3,7.76,18717.04,12068.91,0.0,382.92,Northern-Irl
1046616,2011,01/12/2011,1122014,5.0,RENT,1,Medium,105842,2,23700, 60 months,2,INDIVIDUAL,1,credit_card,1,High,2,Good Loan,0,17.58,D,4,13.17,33449.39357,23700.0,0.0,596.43,Northern-Irl
1035978,2011,01/12/2011,1122014,0.5,RENT,1,Low,76800,1,6400, 36 months,1,INDIVIDUAL,1,major_purchase,8,Low,1,Good Loan,0,7.51,A,1,9.58,7166.272547,6400.0,0.0,199.11,cannught
1046407,2011,01/12/2011,1052012,2.0,RENT,1,Low,33000,1,7000, 60 months,2,INDIVIDUAL,1,other,4,High,2,Good Loan,0,18.64,E,5,8.8,7389.85,7000.0,0.0,180.21,munster
1046604,2011,01/11/2011,1122014,0.5,RENT,1,Low,34000,1,3500, 36 months,1,INDIVIDUAL,1,debt_consolidation,6,High,2,Good Loan,0,14.27,C,3,20.19,4320.044523,3500.0,0.0,120.09,ulster
1043080,2011,01/12/2011,1072014,0.5,MORTGAGE,3,Low,65000,1,10200, 36 months,1,INDIVIDUAL,1,other,4,Low,1,Good Loan,0,7.9,A,1,16.98,11457.67856,10200.0,0.0,319.17,ulster
1044522,2011,01/12/2011,1032012,5.0,RENT,1,Low,69600,1,12000, 36 months,1,INDIVIDUAL,1,wedding,5,Low,1,Bad Loan,1,12.42,B,2,19.09,1700.92,1347.85,0.0,400.99,leinster
1033007,2011,01/12/2011,1072014,2.0,RENT,1,Low,35000,1,9000, 36 months,1,INDIVIDUAL,1,debt_consolidation,6,Low,1,Bad Loan,1,11.71,B,2,6.38,9433.46,7533.45,231.33,297.69,ulster
1043274,2011,01/12/2011,1062013,10.0,RENT,1,Low,43000,1,4000, 36 months,1,INDIVIDUAL,1,debt_consolidation,6,Low,1,Good Loan,0,12.69,B,2,17.11,4601.11,4000.0,0.0,134.18,ulster
1023901,2011,01/12/2011,1102012,4.0,MORTGAGE,3,Low,85000,1,35000, 60 months,2,INDIVIDUAL,1,debt_consolidation,6,High,2,Bad Loan,1,21.28,F,6,16.56,32466.07,3594.41,22943.37,952.39,cannught
1034286,2011,01/12/2011,1042013,2.0,MORTGAGE,3,Medium,120000,2,20000, 60 months,2,INDIVIDUAL,1,credit_card,1,High,2,Good Loan,0,17.58,D,4,11.05,24263.25,20000.0,0.0,503.32,ulster
1045293,2011,01/12/2011,1122014,3.0,MORTGAGE,3,Low,55000,1,5000, 36 months,1,INDIVIDUAL,1,other,4,Low,1,Good Loan,0,9.91,B,2,6.98,5798.06078,5000.0,0.0,161.13,leinster
1046442,2011,01/12/2011,1012014,10.0,RENT,1,Low,40000,1,20000, 60 months,2,INDIVIDUAL,1,debt_consolidation,6,High,2,Bad Loan,1,13.49,C,3,23.31,13356.12,6736.63,1872.87,460.1,Northern-Irl
1046443,2011,01/12/2011,1042012,10.0,MORTGAGE,3,Low,71000,1,7200, 36 months,1,INDIVIDUAL,1,other,4,Low,1,Good Loan,0,6.62,A,1,11.46,7352.82,7200.0,0.0,221.07,ulster
1042802,2011,01/12/2011,1022012,4.0,RENT,1,Low,63000,1,5500, 36 months,1,INDIVIDUAL,1,other,4,Low,1,Good Loan,0,7.51,A,1,5.56,5538.32,5500.0,0.0,171.11,ulster
1046276,2011,01/12/2011,1042013,0.5,RENT,1,Low,30000,1,3000, 36 months,1,INDIVIDUAL,1,major_purchase,8,Low,1,Good Loan,0,10.65,B,2,17.96,3345.95,3000.0,0.0,97.72,Northern-Irl
1041857,2011,01/12/2011,1012016,10.0,RENT,1,Medium,110000,2,20000, 60 months,2,INDIVIDUAL,1,debt_consolidation,6,High,2,Good Loan,0,15.27,C,3,18.63,23369.12,15066.11,0.0,478.64,leinster
1046300,2011,01/12/2011,1122014,9.0,RENT,1,Low,40000,1,9000, 36 months,1,INDIVIDUAL,1,credit_card,1,High,2,Good Loan,0,16.77,D,4,16.74,11506.899640000001,9000.0,0.0,319.85,cannught
1046371,2011,01/12/2011,1042012,3.0,RENT,1,Low,80000,1,9000, 36 months,1,INDIVIDUAL,1,debt_consolidation,6,Low,1,Good Loan,0,8.9,A,1,3.3,9257.86,9000.0,0.0,285.78,Northern-Irl
1046275,2011,01/12/2011,1052014,10.0,RENT,1,Low,34000,1,6000, 36 months,1,INDIVIDUAL,1,debt_consolidation,6,Low,1,Good Loan,0,7.9,A,1,5.54,6723.887909,6000.0,0.0,187.75,cannught
1046380,2011,01/12/2011,1012012,9.0,MORTGAGE,3,Low,80000,1,4000, 36 months,1,INDIVIDUAL,1,home_improvement,7,Low,1,Good Loan,0,6.62,A,1,10.48,4022.34,4000.0,0.0,122.82,leinster
1046153,2011,01/12/2011,1012016,10.0,MORTGAGE,3,Low,72000,1,28200, 60 months,2,INDIVIDUAL,1,home_improvement,7,High,2,Good Loan,0,19.03,E,5,22.88,35833.45,20848.22,0.0,731.99,Northern-Irl
1046382,2011,01/12/2011,1052015,4.0,RENT,1,Low,57250,1,21200, 60 months,2,INDIVIDUAL,1,debt_consolidation,6,High,2,Good Loan,0,18.25,D,4,23.25,30855.03719,21199.99,0.0,541.23,ulster
1046366,2011,01/12/2011,1092014,5.0,RENT,1,Medium,168000,2,25000, 36 months,1,INDIVIDUAL,1,debt_consolidation,6,High,2,Good Loan,0,15.27,C,3,15.5,31120.26355,25000.0,0.0,869.95,munster
1046247,2011,01/12/2011,1042014,7.0,RENT,1,Low,38000,1,12000, 36 months,1,INDIVIDUAL,1,debt_consolidation,6,Low,1,Good Loan,0,11.71,B,2,4.67,14152.6919,12000.0,0.0,396.92,Northern-Irl
1014538,2011,01/12/2011,1012016,6.0,MORTGAGE,3,Low,95000,1,15000, 60 months,2,INDIVIDUAL,1,other,4,High,2,Good Loan,0,20.3,E,5,15.15,19543.51,10993.56,0.0,399.92,cannught
1030260,2011,01/12/2011,1012013,0.5,MORTGAGE,3,Low,76788,1,17000, 36 months,1,INDIVIDUAL,1,home_improvement,7,Low,1,Good Loan,0,12.42,B,2,10.06,18956.75,17000.0,0.0,568.06,munster
1029563,2011,01/12/2011,1042013,10.0,RENT,1,Low,59000,1,20000, 36 months,1,INDIVIDUAL,1,other,4,Low,1,Good Loan,0,7.51,A,1,10.54,21616.32,20000.0,0.0,622.22,cannught
1031634,2011,01/12/2011,1052012,6.05,RENT,1,Low,62000,1,5000, 60 months,2,INDIVIDUAL,1,credit_card,1,High,2,Bad Loan,1,16.77,D,4,7.39,614.6,274.86,0.0,123.65,Northern-Irl
1042392,2011,01/12/2011,1122014,6.0,RENT,1,Low,24000,1,7700, 36 months,1,INDIVIDUAL,1,credit_card,1,Low,1,Good Loan,0,8.9,A,1,18.3,8800.303431,7700.0,0.0,244.5,ulster
1046227,2011,01/12/2011,1052012,4.0,RENT,1,Low,71000,1,14000, 60 months,2,INDIVIDUAL,1,debt_consolidation,6,High,2,Good Loan,0,17.58,D,4,11.65,14998.24,14000.0,0.0,352.32,Northern-Irl
1046047,2011,01/12/2011,1102014,0.5,RENT,1,Low,40000,1,10000, 36 months,1,INDIVIDUAL,1,debt_consolidation,6,Low,1,Good Loan,0,12.42,B,2,8.55,11746.99695,10000.0,0.0,334.16,Northern-Irl
1033253,2011,01/12/2011,1082014,4.0,RENT,1,Low,25000,1,6475, 36 months,1,INDIVIDUAL,1,debt_consolidation,6,Low,1,Good Loan,0,9.91,B,2,22.51,7492.767331,6475.0,0.0,208.66,ulster
1046029,2011,01/12/2011,1092014,10.0,RENT,1,Low,65000,1,12000, 60 months,2,INDIVIDUAL,1,debt_consolidation,6,High,2,Bad Loan,1,19.91,E,5,14.38,11482.8,5130.25,1007.0,317.33,Northern-Irl
1043257,2011,01/12/2011,1012016,10.0,MORTGAGE,3,Low,37210,1,12600, 60 months,2,INDIVIDUAL,1,debt_consolidation,6,High,2,Good Loan,0,19.03,E,5,12.67,15963.54,9292.47,0.0,327.06,cannught
1044595,2011,01/12/2011,1112012,9.0,MORTGAGE,3,Low,73000,1,15600, 36 months,1,INDIVIDUAL,1,debt_consolidation,6,Low,1,Good Loan,0,6.03,A,1,18.49,16352.07,15600.0,0.0,474.8,ulster
1046031,2011,01/12/2011,1122014,3.0,RENT,1,Medium,110000,2,25000, 36 months,1,INDIVIDUAL,1,debt_consolidation,6,High,2,Good Loan,0,15.96,C,3,8.21,31607.41415,25000.01,0.0,878.44,ulster
1046181,2011,01/12/2011,1062014,10.0,MORTGAGE,3,Medium,108060,2,14400, 36 months,1,INDIVIDUAL,1,credit_card,1,High,2,Good Loan,0,14.27,C,3,7.7,17657.74498,14400.0,0.0,494.05,cannught
1043030,2011,01/12/2011,1122012,2.0,MORTGAGE,3,High,250000,3,25000, 36 months,1,INDIVIDUAL,1,car,2,Low,1,Good Loan,0,6.62,A,1,4.65,26420.12,25000.0,0.0,767.6,munster
1022862,2011,01/12/2011,1012016,10.0,MORTGAGE,3,Low,46521,1,25000, 60 months,2,INDIVIDUAL,1,debt_consolidation,6,High,2,Good Loan,0,18.25,D,4,9.91,31246.95,18567.18,0.0,638.25,leinster
997934,2011,01/12/2011,1122014,9.0,RENT,1,Low,43000,1,18000, 36 months,1,INDIVIDUAL,1,debt_consolidation,6,Low,1,Good Loan,0,7.9,A,1,23.13,20274.95379,18000.0,0.0,563.23,ulster
1045932,2011,01/12/2011,1122014,6.05,MORTGAGE,3,Low,57759,1,12000, 36 months,1,INDIVIDUAL,1,debt_consolidation,6,Low,1,Good Loan,0,6.62,A,1,12.53,13260.4136,12000.0,0.0,368.45,cannught
1045996,2011,01/11/2011,1092014,10.0,MORTGAGE,3,Low,89000,1,4000, 36 months,1,INDIVIDUAL,1,debt_consolidation,6,Low,1,Good Loan,0,6.03,A,1,9.01,4378.6524899999995,4000.0,0.0,121.75,cannught
1045909,2011,01/12/2011,1112014,2.0,MORTGAGE,3,Low,90960,1,30000, 60 months,2,INDIVIDUAL,1,debt_consolidation,6,High,2,Good Loan,0,18.64,E,5,15.58,42918.22939,30000.0,0.0,772.29,munster
1045315,2011,01/12/2011,1012016,6.0,MORTGAGE,3,Low,60000,1,27700, 60 months,2,INDIVIDUAL,1,small_business,3,High,2,Good Loan,0,20.3,E,5,0.32,36158.36,20331.25,0.0,738.52,ulster
1045902,2011,01/12/2011,1092013,10.0,RENT,1,Low,90000,1,12000, 36 months,1,INDIVIDUAL,1,debt_consolidation,6,Low,1,Good Loan,0,7.51,A,1,11.91,13166.9,12000.0,0.0,373.33,Northern-Irl
1045970,2011,01/12/2011,1042012,2.0,MORTGAGE,3,Low,94800,1,10000, 36 months,1,INDIVIDUAL,1,medical,9,Low,1,Good Loan,0,7.51,A,1,13.08,10208.12,10000.0,0.0,311.11,leinster
1045966,2011,01/12/2011,1072013,1.0,MORTGAGE,3,Medium,120000,2,16000, 60 months,2,INDIVIDUAL,1,other,4,High,2,Bad Loan,1,22.35,F,6,21.16,10324.26,3313.54,1875.53,445.1,Northern-Irl
1045759,2011,01/11/2011,1122014,2.0,MORTGAGE,3,Low,100000,1,5000, 36 months,1,INDIVIDUAL,1,home_improvement,7,High,2,Good Loan,0,15.96,C,3,18.53,6322.075618,5000.0,0.0,175.69,leinster
1045885,2011,01/12/2011,1022013,4.0,MORTGAGE,3,Medium,145000,2,25000, 60 months,2,INDIVIDUAL,1,credit_card,1,High,2,Good Loan,0,24.11,G,7,8.3,31596.94,25000.0,0.0,720.8,munster
1045892,2011,01/12/2011,1122014,3.0,OWN,2,Low,19200,1,8000, 36 months,1,INDIVIDUAL,1,credit_card,1,Low,1,Good Loan,0,8.9,A,1,14.75,9142.683196,8000.0,0.0,254.03,cannught
1045795,2011,01/12/2011,1122014,3.0,MORTGAGE,3,Low,48000,1,17375, 36 months,1,INDIVIDUAL,1,home_improvement,7,High,2,Good Loan,0,14.27,C,3,19.15,21448.440319999998,17375.0,0.0,596.12,munster
1045739,2011,01/12/2011,1042015,3.0,RENT,1,Low,15600,1,2500, 36 months,1,INDIVIDUAL,1,moving,10,Low,1,Good Loan,0,10.65,B,2,20.08,2996.48021,2500.0,0.0,81.44,ulster
1042203,2011,01/12/2011,1012016,4.0,RENT,1,Low,83000,1,15800, 60 months,2,INDIVIDUAL,1,debt_consolidation,6,High,2,Good Loan,0,18.25,D,4,13.1,19708.63,11715.16,0.0,403.37,ulster
1045826,2011,01/11/2011,1092013,10.0,MORTGAGE,3,Low,70000,1,6000, 36 months,1,INDIVIDUAL,1,debt_consolidation,6,Low,1,Good Loan,0,6.03,A,1,12.15,6285.4,6000.0,0.0,182.62,leinster
1043408,2011,01/12/2011,1122014,7.0,MORTGAGE,3,High,365000,3,35000, 36 months,1,INDIVIDUAL,1,house,12,Low,1,Good Loan,0,10.65,B,2,18.14,41037.5748,35000.0,0.0,1140.07,Northern-Irl
1045843,2011,01/12/2011,1122014,1.0,RENT,1,Low,59000,1,15000, 36 months,1,INDIVIDUAL,1,debt_consolidation,6,High,2,Good Loan,0,16.77,D,4,16.45,19183.39395,15000.0,0.0,533.08,ulster
1042384,2011,01/12/2011,1032014,9.0,MORTGAGE,3,Low,91000,1,18500, 36 months,1,INDIVIDUAL,1,debt_consolidation,6,Low,1,Good Loan,0,12.42,B,2,11.29,21857.61118,18500.0,0.0,618.19,cannught
1045841,2011,01/12/2011,1092014,1.0,MORTGAGE,3,High,550000,3,35000, 60 months,2,INDIVIDUAL,1,house,12,High,2,Good Loan,0,14.27,C,3,4.34,42852.57908,35000.0,0.0,819.3,leinster
1038832,2011,01/12/2011,1092012,0.5,MORTGAGE,3,Low,40000,1,6000, 36 months,1,INDIVIDUAL,1,debt_consolidation,6,Low,1,Good Loan,0,10.65,B,2,8.1,6145.93,6000.0,0.0,195.44,Northern-Irl
1045684,2011,01/12/2011,1122014,6.0,MORTGAGE,3,Low,62000,1,15000, 36 months,1,INDIVIDUAL,1,debt_consolidation,6,Low,1,Good Loan,0,10.65,B,2,13.14,17589.48945,15000.0,0.0,488.6,munster
1037682,2011,01/12/2011,1122014,10.0,MORTGAGE,3,Medium,108000,2,4800, 36 months,1,INDIVIDUAL,1,car,2,Low,1,Good Loan,0,12.42,B,2,9.64,5772.450725,4800.0,0.0,160.4,cannught
1045159,2011,01/12/2011,1012016,6.0,MORTGAGE,3,Low,55000,1,18000, 60 months,2,INDIVIDUAL,1,debt_consolidation,6,High,2,Good Loan,0,19.42,E,5,13.07,23057.64,13275.4,0.0,471.1,munster
1045560,2011,01/12/2011,1062013,4.0,MORTGAGE,3,Low,90000,1,20000, 36 months,1,INDIVIDUAL,1,home_improvement,7,Low,1,Good Loan,0,12.42,B,2,8.41,22950.36,19999.99,0.0,668.31,munster
1045519,2011,01/12/2011,1092012,2.0,OWN,2,Low,96000,1,29000, 60 months,2,INDIVIDUAL,1,debt_consolidation,6,Low,1,Good Loan,0,12.69,B,2,12.88,31620.34,29000.01,0.0,655.25,ulster
1045554,2011,01/12/2011,1062012,6.0,RENT,1,Low,39500,1,14125, 60 months,2,INDIVIDUAL,1,debt_consolidation,6,High,2,Good Loan,0,15.27,C,3,23.54,15168.95,14125.0,0.0,338.04,ulster
1045472,2011,01/12/2011,1022012,6.0,OWN,2,Low,36000,1,17625, 60 months,2,INDIVIDUAL,1,debt_consolidation,6,High,2,Bad Loan,1,20.3,E,5,19.17,937.4,345.52,0.0,469.91,Northern-Irl
1045515,2011,01/12/2011,1122014,2.0,RENT,1,Low,33000,1,5000, 36 months,1,INDIVIDUAL,1,moving,10,Low,1,Good Loan,0,12.69,B,2,14.8,6034.083777000001,5000.0,0.0,167.73,munster
1045616,2011,01/12/2011,1082013,8.0,RENT,1,Low,70360,1,10000, 36 months,1,INDIVIDUAL,1,credit_card,1,Low,1,Good Loan,0,6.62,A,1,8.29,10844.15,10000.0,0.0,307.04,Northern-Irl
1043564,2011,01/12/2011,1122014,10.0,MORTGAGE,3,Medium,120000,2,10000, 36 months,1,INDIVIDUAL,1,small_business,3,Low,1,Good Loan,0,6.03,A,1,4.85,10956.34506,10000.0,0.0,304.36,Northern-Irl
1045590,2011,01/12/2011,1012016,7.0,RENT,1,Low,47000,1,13200, 60 months,2,INDIVIDUAL,1,credit_card,1,High,2,Good Loan,0,14.27,C,3,12.61,15107.29,10013.81,0.0,309.0,ulster
1044701,2011,01/11/2011,1122014,0.5,MORTGAGE,3,Low,30000,1,2400, 36 months,1,INDIVIDUAL,1,debt_consolidation,6,Low,1,Good Loan,0,11.71,B,2,1.6,2855.611293,2400.0,0.0,79.39,leinster
1045417,2011,01/12/2011,1072013,6.0,MORTGAGE,3,Low,57500,1,4000, 36 months,1,INDIVIDUAL,1,debt_consolidation,6,Low,1,Good Loan,0,7.9,A,1,9.75,4384.18,4000.0,0.0,125.17,Northern-Irl
1045584,2011,01/12/2011,1122014,1.0,MORTGAGE,3,Low,41053,1,12000, 36 months,1,INDIVIDUAL,1,debt_consolidation,6,Low,1,Good Loan,0,6.03,A,1,6.17,13147.47714,12000.0,0.0,365.23,leinster
1045358,2011,01/12/2011,1072014,3.0,MORTGAGE,3,Low,85000,1,24000, 60 months,2,INDIVIDUAL,1,credit_card,1,Low,1,Bad Loan,1,12.69,B,2,25.54,16810.68,10495.5,29.9,542.28,ulster
1045477,2011,01/12/2011,1032014,7.0,MORTGAGE,3,Low,54996,1,4000, 60 months,2,INDIVIDUAL,1,debt_consolidation,6,High,2,Good Loan,0,19.03,E,5,7.2,5445.559176,4000.0,0.0,103.83,ulster
1045339,2011,01/12/2011,1012012,6.05,MORTGAGE,3,Low,48000,1,3200, 36 months,1,INDIVIDUAL,1,debt_consolidation,6,Low,1,Bad Loan,1,7.9,A,1,27.15,528.65,78.88,428.75,100.13,leinster
1045458,2011,01/12/2011,1122014,6.05,RENT,1,Low,49151,1,14000, 36 months,1,INDIVIDUAL,1,debt_consolidation,6,Low,1,Good Loan,0,11.71,B,2,14.94,16666.2024,14000.0,0.0,463.07,Northern-Irl
1040508,2011,01/12/2011,1082012,6.0,MORTGAGE,3,Low,80000,1,10000, 36 months,1,INDIVIDUAL,1,debt_consolidation,6,High,2,Bad Loan,1,16.29,D,4,14.01,3291.06,1821.19,469.7,353.01,munster
1045468,2011,01/12/2011,1102014,3.0,RENT,1,Low,69000,1,15000, 36 months,1,INDIVIDUAL,1,credit_card,1,Low,1,Good Loan,0,10.65,B,2,21.58,17572.27803,15000.0,0.0,488.6,ulster
1037186,2011,01/11/2011,1122014,10.0,RENT,1,Low,98000,1,10000, 36 months,1,INDIVIDUAL,1,other,4,Low,1,Good Loan,0,12.69,B,2,17.51,12070.945520000001,10000.0,0.0,335.45,Northern-Irl
1043332,2011,01/12/2011,1042013,2.0,RENT,1,Low,38000,1,1000, 36 months,1,INDIVIDUAL,1,debt_consolidation,6,High,2,Bad Loan,1,19.03,E,5,15.54,618.0,372.99,35.6,36.68,ulster
1037627,2011,01/12/2011,1122012,3.0,MORTGAGE,3,Low,56000,1,10075, 36 months,1,INDIVIDUAL,1,debt_consolidation,6,High,2,Good Loan,0,16.29,D,4,16.46,11510.27,10075.0,0.0,355.66,ulster
1044661,2011,01/12/2011,1012014,10.0,RENT,1,Low,65000,1,19400, 60 months,2,INDIVIDUAL,1,small_business,3,High,2,Bad Loan,1,20.3,E,5,4.69,14420.39,5526.85,2008.24,517.23,ulster
1044206,2011,01/12/2011,1112013,0.5,RENT,1,Low,73000,1,22400, 36 months,1,INDIVIDUAL,1,debt_consolidation,6,Low,1,Good Loan,0,12.69,B,2,14.19,26355.29,22400.0,0.0,751.41,Northern-Irl
1045284,2011,01/12/2011,1102014,4.0,RENT,1,Low,50000,1,20000, 36 months,1,INDIVIDUAL,1,debt_consolidation,6,High,2,Good Loan,0,13.49,C,3,17.16,24396.02707,20000.0,0.0,678.61,Northern-Irl
1045409,2011,01/12/2011,1102014,3.0,MORTGAGE,3,High,325000,3,35000, 60 months,2,INDIVIDUAL,1,debt_consolidation,6,High,2,Good Loan,0,17.27,D,4,5.65,48602.96599,35000.0,0.0,874.93,Northern-Irl
1045042,2011,01/12/2011,1102014,6.0,MORTGAGE,3,Low,75000,1,25000, 60 months,2,INDIVIDUAL,1,credit_card,1,High,2,Good Loan,0,17.58,D,4,12.96,34484.34499,25000.0,0.0,629.14,Northern-Irl
